date,product_id,category,season,cost_price,competitor_price,stock_level,promotion,day_of_week,current_price,discount,effective_price,units_sold,revenue
2024-02-18,P0001,Groceries,Spring,85.13,43.43,253,0,Thu,111.55,0.0,111.55,1,111.55
2024-02-19,P0001,Household,Winter,41.92,50.24,455,0,Thu,58.98,0.0,58.98,18,1061.64
2024-02-20,P0001,Clothing,Winter,54.93,31.48,515,0,Sat,64.04,0.0,64.04,1,64.04
2024-02-21,P0001,Beverages,Summer,2.06,85.64,601,0,Mon,3.4,0.0,3.4,154,523.6
2024-02-22,P0001,Beverages,Summer,15.46,43.37,432,0,Thu,22.17,0.0,22.17,46,1019.82
2024-02-23,P0001,Groceries,Summer,64.78,4.87,314,0,Thu,72.25,0.0,72.25,1,72.25
2024-02-24,P0001,Beverages,Spring,56.67,6.49,904,0,Tue,77.14,0.0,77.14,1,77.14
2024-02-25,P0001,Electronics,Spring,20.54,74.16,341,0,Wed,32.21,0.0,32.21,38,1223.98
2024-02-26,P0001,Beverages,Autumn,25.1,35.56,148,0,Sun,37.68,0.0,37.68,26,979.68
2024-02-27,P0001,Household,Autumn,35.06,21.06,608,0,Sat,54.1,0.0,54.1,1,54.1
2024-02-28,P0001,Household,Winter,71.93,66.73,683,0,Fri,90.72,0.0,90.72,9,816.48
2024-02-29,P0001,Household,Autumn,61.36,34.13,775,0,Fri,99.36,0.0,99.36,1,99.36
2024-03-01,P0001,Household,Spring,7.89,9.73,264,0,Sat,12.45,0.0,12.45,29,361.05
2024-03-02,P0001,Electronics,Spring,76.23,24.04,231,0,Tue,112.6,0.0,112.6,1,112.6
2024-03-03,P0001,Snacks,Spring,27.0,93.57,721,0,Sat,47.67,0.0,47.67,34,1620.78
2024-03-04,P0001,Clothing,Spring,67.5,102.39,653,0,Mon,119.54,0.0,119.54,55,6574.7
2024-03-05,P0001,Groceries,Winter,13.21,104.79,201,0,Fri,16.75,0.0,16.75,152,2546.0
2024-03-06,P0001,Household,Winter,99.79,64.65,55,0,Wed,155.23,0.0,155.23,1,155.23
2024-03-07,P0001,Beverages,Spring,8.95,114.16,438,0,Sat,12.34,0.0,12.34,83,1024.22
2024-03-08,P0001,Household,Summer,74.43,19.05,55,1,Sat,102.73,0.24,78.07480000000001,1,78.07
2024-03-09,P0001,Beverages,Autumn,54.59,81.72,238,1,Thu,80.99,0.12,71.2712,37,2637.03
2024-03-10,P0001,Clothing,Winter,9.51,84.81,64,0,Tue,10.48,0.0,10.48,140,1467.2
2024-03-11,P0001,Clothing,Summer,3.65,7.33,234,0,Sun,4.91,0.0,4.91,129,633.39
2024-03-12,P0001,Clothing,Autumn,36.9,34.61,258,0,Sun,58.35,0.0,58.35,32,1867.2
2024-03-13,P0001,Beverages,Summer,80.42,113.94,477,0,Thu,137.84,0.0,137.84,62,8546.08
2024-03-14,P0001,Household,Spring,5.07,91.32,452,0,Wed,7.55,0.0,7.55,147,1109.85
2024-03-15,P0001,Clothing,Autumn,70.74,7.51,674,0,Mon,91.96,0.0,91.96,1,91.96
2024-03-16,P0001,Electronics,Summer,65.88,65.35,902,1,Fri,97.47,0.08,89.6724,27,2421.15
2024-03-17,P0001,Beverages,Winter,27.29,78.19,518,0,Wed,33.02,0.0,33.02,26,858.52
2024-03-18,P0001,Beverages,Winter,8.67,116.8,674,0,Mon,10.3,0.0,10.3,129,1328.7
2024-03-19,P0001,Household,Winter,91.62,86.26,604,0,Wed,144.51,0.0,144.51,12,1734.12
2024-03-20,P0001,Beverages,Autumn,30.73,77.0,864,0,Sat,35.94,0.0,35.94,99,3558.06
2024-03-21,P0001,Beverages,Spring,12.03,109.11,850,0,Wed,19.81,0.0,19.81,81,1604.61
2024-03-22,P0001,Clothing,Spring,68.47,79.65,857,1,Wed,96.51,0.16,81.0684,20,1621.37
2024-03-23,P0001,Household,Autumn,22.45,111.92,93,1,Tue,38.59,0.21,30.486100000000004,118,3597.36
2024-03-24,P0001,Clothing,Autumn,48.09,59.64,340,0,Tue,61.73,0.0,61.73,81,5000.13
2024-03-25,P0001,Clothing,Spring,5.99,86.51,899,0,Wed,7.96,0.0,7.96,138,1098.48
2024-03-26,P0001,Household,Winter,99.31,76.18,30,0,Sat,173.67,0.0,173.67,1,173.67
2024-03-27,P0001,Groceries,Spring,45.31,66.75,293,1,Thu,50.23,0.08,46.2116,64,2957.54
2024-03-28,P0001,Clothing,Spring,99.91,39.57,565,0,Sun,140.78,0.0,140.78,1,140.78
2024-03-29,P0001,Electronics,Summer,39.18,108.55,913,1,Thu,58.85,0.24,44.726,27,1207.6
2024-03-30,P0001,Electronics,Winter,35.44,33.14,268,0,Sat,54.62,0.0,54.62,30,1638.6
2024-03-31,P0001,Beverages,Autumn,91.54,19.97,241,1,Sun,132.26,0.23,101.8402,1,101.84
2024-04-01,P0001,Electronics,Spring,33.62,85.73,789,0,Fri,51.94,0.0,51.94,127,6596.38
2024-04-02,P0001,Beverages,Winter,43.77,66.04,407,1,Mon,61.94,0.08,56.9848,103,5869.43
2024-04-03,P0001,Groceries,Autumn,8.73,32.28,485,0,Mon,12.41,0.0,12.41,58,719.78
2024-04-04,P0001,Household,Summer,95.59,104.57,779,0,Sun,146.23,0.0,146.23,37,5410.51
2024-04-05,P0001,Household,Summer,9.43,35.06,846,0,Thu,11.86,0.0,11.86,94,1114.84
2024-04-06,P0001,Household,Winter,77.35,8.59,196,1,Thu,125.79,0.18,103.14780000000002,1,103.15
2024-04-07,P0001,Electronics,Spring,54.32,2.83,866,0,Sat,88.7,0.0,88.7,1,88.7
2024-04-08,P0001,Groceries,Autumn,7.08,110.82,898,0,Sat,9.11,0.0,9.11,100,911.0
2024-04-09,P0001,Electronics,Winter,1.17,48.86,311,1,Fri,1.31,0.16,1.1004,213,234.39
2024-04-10,P0001,Electronics,Summer,93.62,26.41,187,0,Tue,134.33,0.0,134.33,1,134.33
2024-04-11,P0001,Groceries,Autumn,74.48,68.49,293,0,Wed,110.47,0.0,110.47,11,1215.17
2024-04-12,P0001,Groceries,Autumn,68.96,59.06,727,0,Sun,118.66,0.0,118.66,4,474.64
2024-04-13,P0001,Groceries,Spring,44.42,119.98,580,0,Fri,62.75,0.0,62.75,95,5961.25
2024-04-14,P0001,Groceries,Summer,24.62,106.73,502,0,Sun,30.18,0.0,30.18,86,2595.48
2024-04-15,P0001,Household,Summer,68.31,33.26,287,0,Sat,99.23,0.0,99.23,1,99.23
2024-04-16,P0001,Snacks,Summer,61.22,84.03,40,0,Thu,109.02,0.0,109.02,57,6214.14
2024-04-17,P0001,Snacks,Autumn,72.91,47.07,270,1,Sat,120.04,0.06,112.8376,1,112.84
2024-04-18,P0001,Groceries,Summer,37.21,44.37,761,0,Fri,61.53,0.0,61.53,43,2645.79
2024-04-19,P0001,Snacks,Winter,98.71,44.69,616,0,Thu,175.68,0.0,175.68,1,175.68
2024-04-20,P0001,Snacks,Summer,7.63,77.07,31,1,Sat,10.44,0.19,8.4564,112,947.12
2024-04-21,P0001,Groceries,Autumn,8.89,65.02,196,1,Sun,15.37,0.09,13.986699999999999,112,1566.51
2024-04-22,P0001,Snacks,Summer,91.77,90.85,263,0,Sun,106.32,0.0,106.32,80,8505.6
2024-04-23,P0001,Electronics,Summer,65.12,19.21,690,0,Thu,86.06,0.0,86.06,1,86.06
2024-04-24,P0001,Beverages,Autumn,33.31,51.63,824,0,Fri,54.73,0.0,54.73,31,1696.63
2024-04-25,P0001,Beverages,Summer,76.43,103.38,207,1,Mon,96.52,0.19,78.1812,65,5081.78
2024-04-26,P0001,Groceries,Spring,45.82,1.38,163,1,Thu,69.13,0.12,60.834399999999995,1,60.83
2024-04-27,P0001,Household,Autumn,3.09,75.2,350,0,Sat,4.58,0.0,4.58,34,155.72
2024-04-28,P0001,Groceries,Summer,65.46,94.5,630,1,Sat,105.72,0.12,93.03359999999999,103,9582.46
2024-04-29,P0001,Household,Spring,25.07,46.68,930,0,Tue,29.68,0.0,29.68,32,949.76
2024-01-01,P0002,Beverages,Winter,12.42,106.15,935,1,Tue,19.68,0.11,17.5152,97,1698.97
2024-01-02,P0002,Groceries,Autumn,23.3,88.55,871,0,Mon,35.7,0.0,35.7,173,6176.1
2024-01-03,P0002,Clothing,Summer,48.14,73.12,174,0,Sat,67.15,0.0,67.15,28,1880.2
2024-01-04,P0002,Electronics,Autumn,5.94,24.6,419,1,Wed,6.97,0.18,5.7154,144,823.02
2024-01-05,P0002,Snacks,Spring,88.43,80.74,994,0,Fri,104.05,0.0,104.05,24,2497.2
2024-01-06,P0002,Household,Autumn,56.43,100.22,374,1,Thu,98.85,0.17,82.04549999999999,148,12142.73
2024-01-07,P0002,Clothing,Winter,30.01,87.86,763,0,Sat,34.18,0.0,34.18,138,4716.84
2024-01-08,P0002,Snacks,Summer,69.01,69.41,762,0,Wed,99.69,0.0,99.69,52,5183.88
2024-01-09,P0002,Snacks,Winter,80.62,86.03,591,1,Fri,99.61,0.16,83.6724,115,9622.33
2024-01-10,P0002,Groceries,Spring,61.78,117.25,242,1,Sun,83.45,0.05,79.2775,47,3726.04
2024-01-11,P0002,Snacks,Autumn,21.05,2.29,162,1,Sat,37.79,0.14,32.4994,1,32.5
2024-01-12,P0002,Electronics,Summer,11.92,80.01,633,0,Thu,15.82,0.0,15.82,40,632.8
2024-01-13,P0002,Clothing,Summer,86.13,95.37,905,0,Sun,120.62,0.0,120.62,26,3136.12
2024-01-14,P0002,Snacks,Spring,24.23,77.03,42,0,Sat,40.88,0.0,40.88,107,4374.16
2024-01-15,P0002,Groceries,Spring,2.99,33.5,821,0,Fri,3.68,0.0,3.68,117,430.56
2024-01-16,P0002,Electronics,Autumn,64.65,98.91,62,0,Sat,85.87,0.0,85.87,103,8844.61
2024-01-17,P0002,Beverages,Summer,16.14,109.68,285,1,Wed,25.97,0.07,24.152099999999997,228,5506.68
2024-01-18,P0002,Clothing,Spring,99.11,82.34,893,0,Sun,146.76,0.0,146.76,17,2494.92
2024-01-19,P0002,Snacks,Summer,87.1,61.81,400,0,Thu,147.41,0.0,147.41,1,147.41
2024-01-20,P0002,Groceries,Autumn,61.24,44.59,254,0,Fri,73.67,0.0,73.67,7,515.69
2024-01-21,P0002,Beverages,Winter,83.55,40.28,150,1,Sat,120.8,0.09,109.928,1,109.93
2024-01-22,P0002,Beverages,Spring,47.58,87.06,547,1,Tue,85.04,0.21,67.1816,95,6382.25
2024-01-23,P0002,Household,Autumn,79.06,73.25,867,0,Fri,112.83,0.0,112.83,38,4287.54
2024-01-24,P0002,Electronics,Winter,65.01,19.67,251,1,Mon,82.76,0.2,66.20800000000001,1,66.21
2024-01-25,P0002,Snacks,Autumn,3.84,17.79,642,0,Thu,6.75,0.0,6.75,55,371.25
2024-01-26,P0002,Groceries,Spring,94.93,9.46,902,0,Fri,168.0,0.0,168.0,1,168.0
2024-01-27,P0002,Household,Autumn,86.23,82.34,342,1,Fri,145.22,0.1,130.698,17,2221.87
2024-01-28,P0002,Electronics,Summer,95.39,38.41,440,0,Mon,120.82,0.0,120.82,1,120.82
2024-01-29,P0002,Household,Spring,73.41,3.41,864,0,Sun,87.2,0.0,87.2,1,87.2
2024-01-30,P0002,Clothing,Summer,41.79,41.19,843,1,Fri,49.43,0.2,39.544000000000004,59,2333.1
2024-01-31,P0002,Electronics,Autumn,21.49,100.02,220,1,Thu,28.92,0.24,21.979200000000002,134,2945.21
2024-02-01,P0002,Electronics,Spring,18.82,30.47,65,0,Fri,33.23,0.0,33.23,16,531.68
2024-02-02,P0002,Snacks,Summer,15.35,76.39,689,1,Wed,21.62,0.07,20.1066,214,4302.81
2024-02-03,P0002,Electronics,Summer,22.84,53.32,435,0,Tue,40.67,0.0,40.67,80,3253.6
2024-02-04,P0002,Household,Summer,55.51,66.32,984,1,Sun,73.91,0.24,56.1716,149,8369.57
2024-02-05,P0002,Electronics,Winter,68.69,71.9,137,0,Thu,85.14,0.0,85.14,75,6385.5
2024-02-06,P0002,Snacks,Summer,32.09,55.12,678,0,Tue,37.54,0.0,37.54,80,3003.2
2024-02-07,P0002,Snacks,Summer,55.33,7.88,973,0,Fri,87.38,0.0,87.38,1,87.38
2024-02-08,P0002,Clothing,Autumn,34.78,68.56,595,0,Sun,48.41,0.0,48.41,71,3437.11
2024-02-09,P0002,Household,Autumn,69.95,48.31,478,0,Thu,115.21,0.0,115.21,1,115.21
2024-02-10,P0002,Beverages,Autumn,98.86,24.79,550,0,Thu,153.65,0.0,153.65,1,153.65
2024-02-11,P0002,Beverages,Autumn,69.21,107.68,277,1,Tue,96.21,0.18,78.8922,109,8599.25
2024-02-12,P0002,Electronics,Winter,6.84,88.59,131,1,Thu,10.91,0.12,9.6008,96,921.68
2024-02-13,P0002,Clothing,Autumn,48.25,34.8,597,0,Wed,71.48,0.0,71.48,1,71.48
2024-02-14,P0002,Groceries,Autumn,77.27,65.14,665,0,Sun,92.27,0.0,92.27,45,4152.15
2024-02-15,P0002,Electronics,Autumn,54.68,115.61,591,0,Fri,87.83,0.0,87.83,76,6675.08
2024-02-16,P0002,Clothing,Summer,95.16,30.21,592,0,Wed,106.5,0.0,106.5,1,106.5
2024-02-17,P0002,Household,Winter,6.42,113.74,100,1,Thu,9.15,0.21,7.2285,191,1380.64
2024-02-18,P0002,Household,Autumn,29.82,82.32,801,1,Sun,44.33,0.09,40.3403,146,5889.68
2024-02-19,P0002,Household,Summer,22.85,65.36,512,0,Fri,38.63,0.0,38.63,16,618.08
2024-02-20,P0002,Household,Spring,76.99,118.0,754,0,Thu,111.87,0.0,111.87,20,2237.4
2024-02-21,P0002,Household,Winter,52.86,40.71,467,0,Wed,78.49,0.0,78.49,1,78.49
2024-02-22,P0002,Clothing,Autumn,14.7,34.11,544,1,Wed,21.19,0.06,19.9186,84,1673.16
2024-02-23,P0002,Clothing,Summer,29.27,41.41,283,0,Sun,44.04,0.0,44.04,2,88.08
2024-02-24,P0002,Snacks,Spring,52.74,90.35,748,0,Thu,82.85,0.0,82.85,61,5053.85
2024-02-25,P0002,Beverages,Spring,99.62,41.1,837,1,Sat,120.11,0.11,106.8979,1,106.9
2024-02-26,P0002,Household,Summer,37.06,13.23,797,1,Fri,61.35,0.18,50.307,1,50.31
2024-02-27,P0002,Groceries,Summer,16.53,77.67,467,0,Thu,22.78,0.0,22.78,173,3940.94
2024-02-28,P0002,Clothing,Winter,50.21,27.54,227,1,Mon,61.54,0.06,57.84759999999999,5,289.24
2024-02-29,P0002,Groceries,Summer,31.71,1.5,626,0,Tue,51.01,0.0,51.01,1,51.01
2024-03-01,P0002,Groceries,Autumn,57.03,24.7,953,1,Thu,91.95,0.12,80.916,1,80.92
2024-03-02,P0002,Groceries,Spring,47.2,98.48,649,1,Sat,68.9,0.23,53.053000000000004,55,2917.92
2024-03-03,P0002,Snacks,Autumn,69.26,112.89,186,1,Thu,91.08,0.17,75.59639999999999,54,4082.21
2024-03-04,P0002,Clothing,Autumn,91.51,79.77,474,0,Sat,141.77,0.0,141.77,15,2126.55
2024-03-05,P0002,Groceries,Autumn,20.85,37.95,562,0,Mon,31.55,0.0,31.55,92,2902.6
2024-03-06,P0002,Household,Spring,82.3,52.94,134,1,Mon,127.38,0.2,101.904,2,203.81
2024-03-07,P0002,Electronics,Spring,94.98,24.15,580,0,Fri,154.31,0.0,154.31,1,154.31
2024-03-08,P0002,Groceries,Spring,37.99,105.81,507,0,Tue,57.84,0.0,57.84,38,2197.92
2024-03-09,P0002,Snacks,Summer,12.25,80.2,945,1,Wed,15.07,0.12,13.2616,136,1803.58
2024-03-10,P0002,Clothing,Autumn,82.37,11.05,730,0,Mon,92.82,0.0,92.82,1,92.82
2024-03-11,P0002,Snacks,Winter,70.41,44.67,646,0,Tue,82.39,0.0,82.39,17,1400.63
2024-03-12,P0002,Groceries,Summer,22.06,65.02,47,1,Thu,35.14,0.08,32.3288,170,5495.9
2024-03-13,P0002,Clothing,Summer,45.08,95.88,922,0,Sun,76.35,0.0,76.35,59,4504.65
2024-03-14,P0002,Electronics,Winter,58.22,110.54,749,0,Sat,64.16,0.0,64.16,55,3528.8
2024-03-15,P0002,Groceries,Autumn,17.82,16.79,623,0,Wed,24.36,0.0,24.36,48,1169.28
2024-03-16,P0002,Snacks,Winter,71.78,100.31,672,0,Sat,112.11,0.0,112.11,60,6726.6
2024-03-17,P0002,Beverages,Spring,69.3,8.83,858,1,Tue,119.29,0.21,94.23910000000001,1,94.24
2024-03-18,P0002,Household,Autumn,88.83,29.62,888,0,Wed,100.69,0.0,100.69,1,100.69
2024-03-19,P0002,Snacks,Summer,57.16,3.5,300,0,Tue,89.09,0.0,89.09,1,89.09
2024-03-20,P0002,Clothing,Spring,57.86,8.6,724,0,Fri,81.57,0.0,81.57,1,81.57
2024-03-21,P0002,Groceries,Spring,62.32,4.86,371,1,Sat,72.58,0.08,66.7736,1,66.77
2024-03-22,P0002,Household,Summer,28.1,18.37,917,0,Thu,46.56,0.0,46.56,1,46.56
2024-03-23,P0002,Groceries,Winter,76.1,105.31,748,0,Sun,121.44,0.0,121.44,75,9108.0
2024-03-24,P0002,Clothing,Spring,66.59,34.78,611,0,Thu,80.47,0.0,80.47,1,80.47
2024-03-25,P0002,Groceries,Spring,84.08,58.09,853,0,Thu,139.38,0.0,139.38,1,139.38
2024-03-26,P0002,Beverages,Autumn,77.09,58.97,815,1,Thu,134.27,0.23,103.38790000000002,5,516.94
2024-03-27,P0002,Household,Autumn,64.22,119.44,668,0,Fri,79.25,0.0,79.25,132,10461.0
2024-03-28,P0002,Household,Summer,16.93,44.4,699,0,Sat,25.48,0.0,25.48,54,1375.92
2024-03-29,P0002,Clothing,Summer,92.0,32.55,688,0,Fri,114.09,0.0,114.09,1,114.09
2024-03-30,P0002,Beverages,Summer,37.35,115.63,629,0,Thu,51.43,0.0,51.43,98,5040.14
2024-03-31,P0002,Snacks,Winter,96.47,71.51,335,1,Fri,110.84,0.05,105.298,48,5054.3
2024-04-01,P0002,Groceries,Spring,40.79,35.45,275,0,Sun,67.77,0.0,67.77,1,67.77
2024-04-02,P0002,Electronics,Summer,15.45,35.21,686,1,Sat,17.15,0.11,15.263499999999999,140,2136.89
2024-04-03,P0002,Groceries,Autumn,88.6,11.28,341,0,Sat,146.35,0.0,146.35,1,146.35
2024-04-04,P0002,Groceries,Spring,79.71,67.27,824,0,Mon,91.27,0.0,91.27,46,4198.42
2024-04-05,P0002,Snacks,Summer,78.84,87.12,244,0,Sun,120.77,0.0,120.77,12,1449.24
2024-04-06,P0002,Groceries,Spring,9.85,57.49,183,1,Tue,15.08,0.11,13.4212,72,966.33
2024-04-07,P0002,Beverages,Spring,88.05,106.25,913,0,Mon,130.8,0.0,130.8,26,3400.8
2024-04-08,P0002,Beverages,Spring,60.04,58.59,35,0,Wed,71.18,0.0,71.18,30,2135.4
2024-04-09,P0002,Household,Summer,47.57,42.22,587,0,Tue,85.38,0.0,85.38,1,85.38
2024-04-10,P0002,Clothing,Spring,91.4,30.84,115,0,Mon,156.17,0.0,156.17,1,156.17
2024-04-11,P0002,Electronics,Spring,66.94,29.95,70,1,Tue,90.42,0.24,68.7192,1,68.72
2024-04-12,P0002,Groceries,Spring,14.17,38.67,770,0,Tue,20.57,0.0,20.57,131,2694.67
2024-04-13,P0002,Groceries,Autumn,52.43,119.05,628,0,Fri,75.57,0.0,75.57,22,1662.54
2024-04-14,P0002,Snacks,Summer,64.03,43.94,664,0,Thu,88.78,0.0,88.78,2,177.56
2024-04-15,P0002,Clothing,Winter,89.96,63.43,630,0,Tue,150.11,0.0,150.11,1,150.11
2024-04-16,P0002,Beverages,Autumn,28.71,33.69,643,1,Wed,42.63,0.06,40.0722,69,2764.98
2024-04-17,P0002,Electronics,Spring,79.63,18.08,699,1,Tue,106.24,0.23,81.8048,1,81.8
2024-04-18,P0002,Household,Spring,80.18,77.85,774,0,Sun,137.46,0.0,137.46,21,2886.66
2024-04-19,P0002,Beverages,Winter,13.68,65.88,180,0,Thu,21.77,0.0,21.77,59,1284.43
2024-04-20,P0002,Clothing,Winter,2.71,9.07,778,0,Sun,4.7,0.0,4.7,107,502.9
2024-04-21,P0002,Household,Autumn,58.56,106.05,911,0,Tue,95.86,0.0,95.86,52,4984.72
2024-04-22,P0002,Snacks,Spring,79.16,61.42,208,0,Sun,88.34,0.0,88.34,9,795.06
2024-04-23,P0002,Snacks,Winter,55.89,40.9,791,0,Thu,99.25,0.0,99.25,1,99.25
2024-04-24,P0002,Groceries,Autumn,81.52,93.74,595,0,Fri,127.3,0.0,127.3,14,1782.2
2024-04-25,P0002,Clothing,Winter,62.61,14.34,623,0,Sun,79.53,0.0,79.53,1,79.53
2024-04-26,P0002,Electronics,Spring,65.68,57.38,943,0,Fri,90.81,0.0,90.81,34,3087.54
2024-04-27,P0002,Household,Spring,3.79,66.3,639,1,Thu,5.87,0.23,4.5199,218,985.34
2024-04-28,P0002,Beverages,Spring,9.77,93.24,302,0,Wed,11.2,0.0,11.2,39,436.8
2024-04-29,P0002,Clothing,Spring,72.78,45.06,137,1,Thu,103.07,0.09,93.7937,1,93.79
2024-01-01,P0003,Clothing,Summer,76.52,102.74,403,0,Sat,121.34,0.0,121.34,69,8372.46
2024-01-02,P0003,Snacks,Summer,54.68,84.02,552,0,Sun,63.21,0.0,63.21,58,3666.18
2024-01-03,P0003,Groceries,Summer,59.43,92.76,438,0,Thu,70.38,0.0,70.38,22,1548.36
2024-01-04,P0003,Groceries,Autumn,61.82,116.32,571,0,Tue,101.61,0.0,101.61,97,9856.17
2024-01-05,P0003,Household,Autumn,11.39,101.53,226,1,Sun,17.48,0.05,16.605999999999998,222,3686.53
2024-01-06,P0003,Snacks,Winter,67.12,42.27,285,0,Wed,107.3,0.0,107.3,1,107.3
2024-01-07,P0003,Clothing,Winter,48.37,77.85,551,0,Mon,76.31,0.0,76.31,7,534.17
2024-01-08,P0003,Electronics,Autumn,60.65,104.36,863,1,Fri,90.46,0.22,70.55879999999999,90,6350.29
2024-01-09,P0003,Snacks,Winter,56.75,63.49,490,0,Thu,63.94,0.0,63.94,87,5562.78
2024-01-10,P0003,Household,Autumn,76.54,82.25,995,0,Sun,107.45,0.0,107.45,53,5694.85
2024-01-11,P0003,Household,Summer,32.54,21.5,418,0,Tue,43.35,0.0,43.35,13,563.55
2024-01-12,P0003,Snacks,Autumn,37.98,98.09,633,0,Fri,65.8,0.0,65.8,41,2697.8
